timestamp,roadsegment,name,Orientation,Description,lon,lat,Last Updated,source,lane_id,direction,number_vehicles,avg_speed_kmh,avg_length_m,avg_headway_ms,occupancy_percentage,congested,period_inverted,integration_time,class_id,class_id_count
2017-09-05T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-09-04T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,700,15,5,2,3,FALSE,TRUE,900,null,null
2017-09-03T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,600,20,6,3,3,FALSE,TRUE,900,,
2017-09-02T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,500,25,7,4,3,FALSE,TRUE,900,,
2017-09-01T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,400,30,8,5,3,TRUE,FALSE,900,,
2017-08-31T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,300,35,9,6,3,TRUE,FALSE,900,,
2017-08-30T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,200,40,10,7,3,TRUE,FALSE,900,,
2017-08-29T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,100,45,15,8,3,TRUE,FALSE,900,,
2017-08-28T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,50,50,20,9,3,TRUE,FALSE,900,,
2017-08-27T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-08-26T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,700,15,5,2,3,FALSE,TRUE,900,null,null
2017-08-25T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,600,20,6,3,3,FALSE,TRUE,900,,
2017-08-24T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,500,25,7,4,3,FALSE,TRUE,900,,
2017-08-23T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,400,30,8,5,3,TRUE,FALSE,900,,
2017-08-22T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,300,35,9,6,3,TRUE,FALSE,900,,
2017-08-21T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,200,40,10,7,3,TRUE,FALSE,900,,
2017-08-20T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,100,45,15,8,3,TRUE,FALSE,900,,
2017-08-19T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,50,50,20,9,3,TRUE,FALSE,900,,
2017-08-18T08:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-08-17T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,700,15,5,2,3,FALSE,TRUE,900,null,null
2017-08-16T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,600,20,6,3,3,FALSE,TRUE,900,,
2017-08-15T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,500,25,7,4,3,FALSE,TRUE,900,,
2017-08-14T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,400,30,8,5,3,TRUE,FALSE,900,,
2017-08-13T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,300,35,9,6,3,TRUE,FALSE,900,,
2017-08-12T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,200,40,10,7,3,TRUE,FALSE,900,,
2017-08-11T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,100,45,15,8,3,TRUE,FALSE,900,,
2017-08-10T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,50,50,20,9,3,TRUE,FALSE,900,,
2017-08-09T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-08-08T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,700,15,5,2,3,FALSE,TRUE,900,null,null
2017-08-07T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,600,20,6,3,3,FALSE,TRUE,900,,
2017-08-06T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,500,25,7,4,3,FALSE,TRUE,900,,
2017-08-05T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,400,30,8,5,3,TRUE,FALSE,900,,
2017-08-04T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,300,35,9,6,3,TRUE,FALSE,900,,
2017-08-03T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,200,40,10,7,3,TRUE,FALSE,900,,
2017-08-02T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,100,45,15,8,3,TRUE,FALSE,900,,
2017-08-01T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,1,1,50,50,20,9,3,TRUE,FALSE,900,,
2017-09-05T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-09-04T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,700,15,5,2,3,FALSE,TRUE,900,null,null
2017-09-03T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,600,20,6,3,3,FALSE,TRUE,900,,
2017-09-02T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,500,25,7,4,3,FALSE,TRUE,900,,
2017-09-01T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,400,30,8,5,3,TRUE,FALSE,900,,
2017-08-31T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,300,35,9,6,3,TRUE,FALSE,900,,
2017-08-30T13:31:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,,robot,2,2,200,40,10,7,3,TRUE,FALSE,900,,
