timestamp,roadsegment,name,Orientation,Description,lon,lat,source,lane_id,direction,lane_num,number_vehicles,avg_speed_kmh,avg_length_m,avg_headway_ms,occupancy_percentage,congested,period_inverted,integration_time,class_id,class_id_count
2017-09-27T11:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,800,10,4,1,3,FALSE,TRUE,900,null,null
2017-09-27T11:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,700,15,5,2,3,FALSE,FALSE,900,null,null
2017-09-27T11:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,600,20,6,3,3,FALSE,FALSE,900,null,null
2017-09-27T10:45:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,500,25,7,4,3,FALSE,FALSE,900,null,null
2017-09-27T10:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,400,30,8,5,3,FALSE,FALSE,900,null,null
2017-09-27T10:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,300,35,9,6,3,FALSE,FALSE,900,null,null
2017-09-27T10:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,200,40,10,7,3,FALSE,FALSE,900,null,null
2017-09-27T09:45:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,100,45,15,8,3,FALSE,FALSE,900,null,null
2017-09-27T09:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,1,2,28,50,50,20,9,3,FALSE,FALSE,900,null,null
2017-09-27T11:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,850,10,4,1,3,FALSE,TRUE,900,null,null
2017-09-27T11:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,700,15,5,2,3,FALSE,FALSE,900,null,null
2017-09-27T11:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,600,20,6,3,3,FALSE,FALSE,900,null,null
2017-09-27T10:45:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,500,25,7,4,3,FALSE,FALSE,900,null,null
2017-09-27T10:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,400,30,8,5,3,FALSE,FALSE,900,null,null
2017-09-27T10:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,300,35,9,6,3,FALSE,FALSE,900,null,null
2017-09-27T10:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,200,40,10,7,3,FALSE,FALSE,900,null,null
2017-09-27T09:45:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,100,45,15,8,3,FALSE,FALSE,900,null,null
2017-09-27T09:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,2,1,27,50,50,20,9,3,FALSE,FALSE,900,null,null
2017-09-27T11:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,900,10,4,1,3,FALSE,TRUE,900,null,null
2017-09-27T11:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,700,15,5,2,3,FALSE,FALSE,900,null,null
2017-09-27T11:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,600,20,6,3,3,FALSE,FALSE,900,null,null
2017-09-27T10:45:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,500,25,7,4,3,FALSE,FALSE,900,null,null
2017-09-27T10:30:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,400,30,8,5,3,FALSE,FALSE,900,null,null
2017-09-27T10:15:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,300,35,9,6,3,FALSE,FALSE,900,null,null
2017-09-27T10:00:00Z,1,RobotCountingSite 1,1,null,2.176802,41.393929,robot,3,2,26,200,40,10,7,3,FALSE,FALSE,900,null,null
